===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-02 04:18:35
count workspace : d:\mgr\CILantroTools\cilantro-tools-web-ui
total files : 165
total code lines : 27021
total comment lines : 98
total blank lines : 1338

.gitignore, code is 13, comment is 0, blank is 4.
build\asset-manifest.json, code is 11, comment is 0, blank is 0.
build\index.html, code is 1, comment is 0, blank is 0.
build\precache-manifest.c847d732bbf2133746fa8051ba52b401.js, code is 18, comment is 0, blank is 0.
build\service-worker.js, code is 10, comment is 17, blank is 7.
build\static\js\1.9f9fd7e6.chunk.js, code is 1, comment is 2, blank is 0.
build\static\js\1.9f9fd7e6.chunk.js.map, code is 1, comment is 0, blank is 0.
build\static\js\main.8b45fa0d.chunk.js, code is 1, comment is 1, blank is 0.
build\static\js\main.8b45fa0d.chunk.js.map, code is 1, comment is 0, blank is 0.
build\static\js\runtime~main.229c360f.js, code is 1, comment is 1, blank is 0.
build\static\js\runtime~main.229c360f.js.map, code is 1, comment is 0, blank is 0.
config\env.js, code is 48, comment is 0, blank is 10.
config\paths.js, code is 50, comment is 0, blank is 12.
config\webpack.config.js, code is 350, comment is 0, blank is 14.
config\webpackDevServer.config.js, code is 40, comment is 0, blank is 4.
package-lock.json, code is 17704, comment is 0, blank is 0.
package.json, code is 133, comment is 0, blank is 7.
public\appsettings.js, code is 5, comment is 0, blank is 0.
public\index.html, code is 43, comment is 0, blank is 12.
scripts\build.js, code is 150, comment is 20, blank is 22.
scripts\start.js, code is 87, comment is 17, blank is 11.
scripts\test.js, code is 36, comment is 7, blank is 10.
src\api\apiRoutes.ts, code is 41, comment is 0, blank is 3.
src\api\binding-models\categories\AddCategoryBindingModel.ts, code is 6, comment is 0, blank is 2.
src\api\binding-models\categories\AddSubcategoryBindingModel.ts, code is 5, comment is 0, blank is 1.
src\api\binding-models\runs\AddRunBindingModel.ts, code is 5, comment is 0, blank is 2.
src\api\binding-models\runs\AddSingleTestRunBindingModel.ts, code is 6, comment is 0, blank is 2.
src\api\binding-models\tests\AddTestInputOutputExampleBindingModel.ts, code is 7, comment is 0, blank is 1.
src\api\binding-models\tests\CopyTestInputBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\binding-models\tests\CreateTestFromCandidateBindingModel.ts, code is 5, comment is 0, blank is 1.
src\api\binding-models\tests\EditTestCategoryBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\binding-models\tests\EditTestDisabledReasonBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\binding-models\tests\EditTestHasEmptyInputBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\binding-models\tests\EditTestInputBindingModel.ts, code is 6, comment is 0, blank is 2.
src\api\binding-models\tests\EditTestOutputBindingModel.ts, code is 5, comment is 0, blank is 2.
src\api\binding-models\tests\EditTestSubcategoryBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\binding-models\tests\GenerateOutputBindingModel.ts, code is 4, comment is 0, blank is 1.
src\api\clients\ApiClientBase.ts, code is 26, comment is 0, blank is 8.
src\api\clients\CategoriesApiClient.ts, code is 28, comment is 0, blank is 6.
src\api\clients\RunsApiClient.ts, code is 42, comment is 0, blank is 9.
src\api\clients\TestsApiClient.ts, code is 81, comment is 0, blank is 19.
src\api\enums\BaseLanguage.ts, code is 21, comment is 0, blank is 3.
src\api\enums\RunOutcome.ts, code is 5, comment is 0, blank is 1.
src\api\enums\RunStatus.ts, code is 6, comment is 0, blank is 1.
src\api\enums\RunType.ts, code is 5, comment is 0, blank is 1.
src\api\enums\TestRunStep.ts, code is 22, comment is 0, blank is 3.
src\api\models\runs\RunData.ts, code is 19, comment is 0, blank is 2.
src\api\models\tests\input-output\elements\AbstractInputOutputElement.ts, code is 7, comment is 0, blank is 2.
src\api\models\tests\input-output\elements\BoolElement.ts, code is 6, comment is 0, blank is 1.
src\api\models\tests\input-output\elements\ConstStringElement.ts, code is 6, comment is 0, blank is 1.
src\api\models\tests\input-output\elements\FloatElement.ts, code is 9, comment is 0, blank is 1.
src\api\models\tests\input-output\elements\IntElement.ts, code is 9, comment is 0, blank is 1.
src\api\models\tests\input-output\elements\StringElement.ts, code is 12, comment is 0, blank is 1.
src\api\models\tests\input-output\InputOutput.ts, code is 5, comment is 0, blank is 2.
src\api\models\tests\input-output\InputOutputLine.ts, code is 10, comment is 0, blank is 3.
src\api\models\tests\TestCandidate.ts, code is 5, comment is 0, blank is 1.
